,Name,Platform_Name,Release_Date,New_Release_Date,Release_Year
2108,Rayman Advance,GameBoyAdvance,10-Jun-01,2001-06-10,2001
2109,Need for Speed: Shift,PlayStation3,15-Sep-09,2009-09-15,2009
2110,Saints Row: The Third,Xbox360,15-Nov-11,2011-11-15,2011
2111,Gran Turismo 5,PlayStation3,24-Nov-10,2010-11-24,2010
2112,Thimbleweed Park,XboxOne,30-Mar-17,2017-03-30,2017
2113,Tron 2.0,PC,26-Aug-03,2003-08-26,2003
2114,Metro Redux,XboxOne,26-Aug-14,2014-08-26,2014
2115,The Warriors,PlayStation2,17-Oct-05,2005-10-17,2005
2116,Skate 2,Xbox360,21-Jan-09,2009-01-21,2009
2117,NieR: Automata,PC,17-Mar-17,2017-03-17,2017
2118,The Walking Dead: Episode 2 - Starved for Help,PlayStation3,29-Jun-12,2012-06-29,2012
2119,X-Men Legends II: Rise of Apocalypse,PSP,18-Oct-05,2005-10-18,2005
2120,Brothers in Arms: Earned in Blood,PC,04-Oct-05,2005-10-04,2005
2121,Lego Star Wars II: The Original Trilogy,GameCube,12-Sep-06,2006-09-12,2006
2122,Pokemon Ultra Moon,3DS,17-Nov-17,2017-11-17,2017
2123,Yooka-Laylee and the Impossible Lair,XboxOne,08-Oct-19,2019-10-08,2019
2124,Moonlighter,XboxOne,29-May-18,2018-05-29,2018
2125,Danmaku Unlimited 3,Switch,13-Mar-18,2018-03-13,2018
2126,Lara Croft and the Guardian of Light,PlayStation3,28-Sep-10,2010-09-28,2010
2127,Darksiders II,PlayStation3,14-Aug-12,2012-08-14,2012
2128,Borderlands,Xbox360,20-Oct-09,2009-10-20,2009
2129,Indigo Prophecy,Xbox,26-Sep-05,2005-09-26,2005
2130,Nioh: Complete Edition,PC,07-Nov-17,2017-11-07,2017
2131,Half-Minute Hero,PSP,13-Oct-09,2009-10-13,2009
2132,Marvel's Spider-Man: Miles Morales,PlayStation4,12-Nov-20,2020-11-12,2020
2133,ICEY,PC,17-Nov-16,2016-11-17,2016
2134,Madden NFL 11,Xbox360,10-Aug-10,2010-08-10,2010
2135,Grim Fandango Remastered,PC,26-Jan-15,2015-01-26,2015
2136,Age of Empires II: Definitive Edition,PC,14-Nov-19,2019-11-14,2019
2137,Sega Ages: Fantasy Zone,Switch,23-Jan-20,2020-01-23,2020
2138,Mutant Mudds Deluxe,WiiU,13-Jun-13,2013-06-13,2013
2139,Psi-Ops: The Mindgate Conspiracy,PlayStation2,14-Jun-04,2004-06-14,2004
2140,Thimbleweed Park,PC,30-Mar-17,2017-03-30,2017
2141,The Lord of the Rings: The Battle for Middle-Earth II,PC,02-Mar-06,2006-03-02,2006
2142,F1 2019,PlayStation4,25-Jun-19,2019-06-25,2019
2143,Assault Android Cactus,XboxOne,07-Nov-17,2017-11-07,2017
2144,Tom Clancy's Splinter Cell Double Agent,PlayStation2,24-Oct-06,2006-10-24,2006
2145,Hitman 2,XboxOne,09-Nov-18,2018-11-09,2018
2146,Def Jam: Fight for NY,Xbox,20-Sep-04,2004-09-20,2004
2147,Classic NES Series: The Legend of Zelda,GameBoyAdvance,02-Jun-04,2004-06-02,2004
2148,Battlefield Vietnam,PC,14-Mar-04,2004-03-14,2004
2149,Medieval: Total War - Viking Invasion,PC,07-May-03,2003-05-07,2003
2150,NBA 2K3,GameCube,07-Oct-02,2002-10-07,2002
2151,Dance Dance Revolution Konamix,PlayStation,25-Apr-02,2002-04-25,2002
2152,Street Fighter III: 3rd Strike,Dreamcast,04-Oct-00,2000-10-04,2000
2153,Fallout 4,PC,09-Nov-15,2015-11-09,2015
2154,Tom Clancy's Ghost Recon 2 Summit Strike,Xbox,02-Aug-05,2005-08-02,2005
2155,Baba Is You,Switch,13-Mar-19,2019-03-13,2019
2156,Guild Wars Nightfall,PC,26-Oct-06,2006-10-26,2006
2157,Lara Croft GO,PlayStation4,03-Dec-16,2016-12-03,2016
2158,Sayonara Wild Hearts,Switch,19-Sep-19,2019-09-19,2019
2159,Disgaea 2: Cursed Memories,PlayStation2,29-Aug-06,2006-08-29,2006
2160,Oddworld: Abe's Oddysee - New 'n' Tasty,PlayStation4,22-Jul-14,2014-07-22,2014
2161,Madden NFL 16,XboxOne,25-Aug-15,2015-08-25,2015
2162,Minecraft: PlayStation Vita Edition,PlayStationVita,14-Oct-14,2014-10-14,2014
2163,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,WiiU,26-Feb-13,2013-02-26,2013
2164,The Binding of Isaac,PC,28-Sep-11,2011-09-28,2011
2165,Enemy Territory: Quake Wars,PC,02-Oct-07,2007-10-02,2007
2166,Warhawk,PlayStation3,28-Aug-07,2007-08-28,2007
2167,Valkyrie Profile 2: Silmeria,PlayStation2,26-Sep-06,2006-09-26,2006
2168,FIFA 14,Xbox360,24-Sep-13,2013-09-24,2013
2169,New Super Mario Bros. U,WiiU,18-Nov-12,2012-11-18,2012
2170,MLB 08: The Show,PlayStation2,04-Mar-08,2008-03-04,2008
2171,The Lord of the Rings: The Return of the King,Xbox,05-Nov-03,2003-11-05,2003
2172,Ultra Street Fighter IV,Xbox360,03-Jun-14,2014-06-03,2014
2173,FIFA 17,PC,27-Sep-16,2016-09-27,2016
2174,Trine 2,PC,07-Dec-11,2011-12-07,2011
2175,UFC Undisputed 2009,PlayStation3,19-May-09,2009-05-19,2009
2176,Timespinner,Switch,04-Jun-19,2019-06-04,2019
2177,The Walking Dead: Season Two Episode 5 - No Going Back,Xbox360,27-Aug-14,2014-08-27,2014
2178,PixelJunk Monsters: Ultimate HD,PlayStationVita,30-Jul-13,2013-07-30,2013
2179,Rift,PC,01-Mar-11,2011-03-01,2011
2180,Telling Lies,PC,23-Aug-19,2019-08-23,2019
2181,Zero Escape: Virtue's Last Reward,PlayStationVita,23-Oct-12,2012-10-23,2012
2182,Hitman - Episode 2: Sapienza,PlayStation4,26-Apr-16,2016-04-26,2016
2183,Project CARS 2,PC,21-Sep-17,2017-09-21,2017
2184,BioShock: The Collection,PlayStation4,13-Sep-16,2016-09-13,2016
2185,Swords & Soldiers,Wii,08-Jun-09,2009-06-08,2009
2186,The Wolf Among Us: Episode 5 - Cry Wolf,PC,08-Jul-14,2014-07-08,2014
2187,Might & Magic: Clash of Heroes,Xbox360,13-Apr-11,2011-04-13,2011
2188,Child of Eden,Xbox360,14-Jun-11,2011-06-14,2011
2189,Shift 2: Unleashed,PC,29-Mar-11,2011-03-29,2011
2190,Ape Out,Switch,28-Feb-19,2019-02-28,2019
2191,The End Is Nigh,PC,12-Jul-17,2017-07-12,2017
2192,Sid Meier's Civilization IV: Warlords,PC,24-Jul-06,2006-07-24,2006
2193,Hitman,PlayStation4,31-Oct-16,2016-10-31,2016
2194,To the Moon,Switch,16-Jan-20,2020-01-16,2020
2195,Sega Ages: OutRun,Switch,10-Jan-19,2019-01-10,2019
2196,SpeedRunners,PC,19-Apr-16,2016-04-19,2016
2197,Resident Evil 4 HD,Xbox360,20-Sep-11,2011-09-20,2011
2198,Full Spectrum Warrior,Xbox,01-Jun-04,2004-06-01,2004
2199,Battlefield 1942: The Road to Rome,PC,02-Feb-03,2003-02-02,2003
2200,NCAA College Basketball 2K3,Xbox,02-Dec-02,2002-12-02,2002
2201,Tom Clancy's Ghost Recon,Xbox,11-Nov-02,2002-11-11,2002
2202,NASCAR Thunder 2003,Xbox,19-Sep-02,2002-09-19,2002
2203,Poseidon,PC,25-Jun-01,2001-06-25,2001
2204,Escape from Monkey Island,PlayStation2,18-Jun-01,2001-06-18,2001
2205,Star Wars: Episode I Battle for Naboo,Nintendo64,18-Dec-00,2000-12-18,2000
2206,Master of Orion II: Battle at Antares,PC,01-Oct-96,1996-10-01,1996
2207,Control,XboxOne,27-Aug-19,2019-08-27,2019
2208,Tom Clancy's Splinter Cell: Blacklist,PlayStation3,20-Aug-13,2013-08-20,2013
2209,FIFA 16,XboxOne,22-Sep-15,2015-09-22,2015
2210,Spiritfarer,PC,18-Aug-20,2020-08-18,2020
2211,Genshin Impact,PC,28-Sep-20,2020-09-28,2020
2212,Resident Evil 3,XboxOne,03-Apr-20,2020-04-03,2020
2213,GRIS,PC,13-Dec-18,2018-12-13,2018
2214,Shovel Knight: King of Cards,PC,10-Dec-19,2019-12-10,2019
2215,FIFA 18,PlayStation4,26-Sep-17,2017-09-26,2017
2216,Vanquish,Xbox360,19-Oct-10,2010-10-19,2010
2217,F1 2010,PC,21-Sep-10,2010-09-21,2010
2218,Assassin's Creed Origins,PC,27-Oct-17,2017-10-27,2017
2219,Shatter (2009),PC,15-Mar-10,2010-03-15,2010
2220,Vanquish,PlayStation3,19-Oct-10,2010-10-19,2010
2221,Tiger Woods PGA Tour 09,Xbox360,26-Aug-08,2008-08-26,2008
2222,Shin Megami Tensei IV: Apocalypse,3DS,20-Sep-16,2016-09-20,2016
2223,Star Wars: Battlefront II (2005),PlayStation2,01-Nov-05,2005-11-01,2005
2224,Darwinia,PC,14-Jul-05,2005-07-14,2005
2225,WWE SmackDown! vs. Raw 2006,PlayStation2,14-Nov-05,2005-11-14,2005
2226,Super Meat Boy,Switch,11-Jan-18,2018-01-11,2018
2227,F1 2010,Xbox360,22-Sep-10,2010-09-22,2010
2228,Puzzle Quest: Challenge of the Warlords,PSP,20-Mar-07,2007-03-20,2007
2229,The Legend of Heroes: Trails of Cold Steel III,Switch,30-Jun-20,2020-06-30,2020
2230,Ni no Kuni: Wrath of the White Witch,Switch,20-Sep-19,2019-09-20,2019
2231,Yoku's Island Express,PC,29-May-18,2018-05-29,2018
2232,Dark Souls Remastered,PC,23-May-18,2018-05-23,2018
2233,World of Goo,Switch,16-Mar-17,2017-03-16,2017
2234,Final Fantasy X / X-2 HD Remaster,PlayStation4,12-May-15,2015-05-12,2015
2235,Ultimate General: Gettysburg,PC,16-Oct-14,2014-10-16,2014
2236,Trine 2: Complete Story,PlayStation4,15-Nov-13,2013-11-15,2013
2237,NHL 13,PlayStation3,11-Sep-12,2012-09-11,2012
2238,Sound Shapes,PlayStation3,07-Aug-12,2012-08-07,2012
2239,Space Invaders Extreme,PSP,17-Jun-08,2008-06-17,2008
2240,Jak 3,PlayStation2,09-Nov-04,2004-11-09,2004
2241,Psi-Ops: The Mindgate Conspiracy,Xbox,14-Jun-04,2004-06-14,2004
2242,James Bond 007: Everything or Nothing,PlayStation2,17-Feb-04,2004-02-17,2004
2243,The Sims,Xbox,24-Mar-03,2003-03-24,2003
2244,Onimusha 2: Samurai's Destiny,PlayStation2,28-Aug-02,2002-08-28,2002
2245,Spy Hunter,PlayStation2,24-Sep-01,2001-09-24,2001
2246,Resident Evil Code: Veronica X,PlayStation2,21-Aug-01,2001-08-21,2001
2247,ChuChu Rocket!,GameBoyAdvance,10-Jun-01,2001-06-10,2001
2248,Ecco the Dolphin: Defender of the Future,Dreamcast,10-Sep-00,2000-09-10,2000
2249,Bulletstorm,PlayStation3,22-Feb-11,2011-02-22,2011
2250,Prince of Persia: Warrior Within,PlayStation2,30-Nov-04,2004-11-30,2004
2251,Just Shapes & Beats,Switch,31-May-18,2018-05-31,2018
2252,Assassin's Creed Origins: The Curse of the Pharaohs,PlayStation4,13-Mar-18,2018-03-13,2018
2253,Borderlands 2: Mr. Torgue's Campaign of Carnage,Xbox360,20-Nov-12,2012-11-20,2012
2254,Final Fantasy XV,XboxOne,29-Nov-16,2016-11-29,2016
2255,Final Fantasy XI: Treasures of Aht Urhgan,PC,18-Apr-06,2006-04-18,2006
2256,Two Point Hospital,PC,29-Aug-18,2018-08-29,2018
2257,Lumines Remastered,Switch,26-Jun-18,2018-06-26,2018
2258,Fortnite,Switch,12-Jun-18,2018-06-12,2018
2259,SUPERHOT VR,PC,05-Dec-16,2016-12-05,2016
2260,DmC: Devil May Cry Definitive Edition,PlayStation4,10-Mar-15,2015-03-10,2015
2261,Enter the Gungeon,PC,05-Apr-16,2016-04-05,2016
2262,Disgaea 1 Complete,PlayStation4,09-Oct-18,2018-10-09,2018
2263,Pro Evolution Soccer 2018,PlayStation4,12-Sep-17,2017-09-12,2017
2264,Grim Dawn,PC,25-Feb-16,2016-02-25,2016
2265,Call of Duty: Black Ops 4,PlayStation4,12-Oct-18,2018-10-12,2018
2266,Super Puzzle Fighter II Turbo,PlayStation,30-Nov-96,1996-11-30,1996
2267,Battlefield 1943,Xbox360,08-Jul-09,2009-07-08,2009
2268,BlazBlue: Chrono Phantasma,PlayStation3,25-Mar-14,2014-03-25,2014
2269,Dungeons & Dragons: Chronicles of Mystara,PlayStation3,18-Jun-13,2013-06-18,2013
2270,Ghost of Tsushima,PlayStation4,17-Jul-20,2020-07-17,2020
2271,Tetris 99,Switch,13-Feb-19,2019-02-13,2019
2272,Final Fantasy XII: The Zodiac Age,PC,01-Feb-18,2018-02-01,2018
2273,Marvel Pinball,PlayStation3,14-Dec-10,2010-12-14,2010
2274,NBA Live 2005,GameCube,28-Sep-04,2004-09-28,2004
2275,Resident Evil 0,GameCube,10-Nov-02,2002-11-10,2002
2276,Virtua Tennis,GameBoyAdvance,08-Oct-02,2002-10-08,2002
2277,Sega Sports Tennis,PlayStation2,31-Jul-02,2002-07-31,2002
2278,MDK2,PC,31-May-00,2000-05-31,2000
2279,Kid Icarus: Uprising,3DS,23-Mar-12,2012-03-23,2012
2280,Tales of Vesperia: Definitive Edition,Switch,11-Jan-19,2019-01-11,2019
2281,Gunpoint,PC,03-Jun-13,2013-06-03,2013
2282,Detention,PC,12-Jan-17,2017-01-12,2017
2283,Sly 3: Honor Among Thieves,PlayStation2,26-Sep-05,2005-09-26,2005
2284,Bloodstained: Ritual of the Night,PC,18-Jun-19,2019-06-18,2019
2285,Hakuoki: Kyoto Winds,PlayStationVita,16-May-17,2017-05-16,2017
2286,NHL 2K6,Xbox,06-Sep-05,2005-09-06,2005
2287,Beyond Good & Evil,PC,19-Nov-03,2003-11-19,2003
2288,LocoRoco,PSP,05-Sep-06,2006-09-05,2006
2289,MLB 06: The Show,PSP,28-Feb-06,2006-02-28,2006
2290,Anno 2070,PC,17-Nov-11,2011-11-17,2011
2291,SMITE,PC,25-Mar-14,2014-03-25,2014
2292,Life is Strange 2: Episode 5 - Wolves,PC,03-Dec-19,2019-12-03,2019
2293,Alien: Isolation,Switch,05-Dec-19,2019-12-05,2019
2294,Donkey Kong Country Returns 3D,3DS,24-May-13,2013-05-24,2013
2295,Guacamelee! 2,PlayStation4,21-Aug-18,2018-08-21,2018
2296,Unreal Championship,Xbox,24-Sep-02,2002-09-24,2002
2297,Halo: Combat Evolved,PC,30-Sep-03,2003-09-30,2003
2298,Ultra Street Fighter IV,PlayStation3,03-Jun-14,2014-06-03,2014
2299,ESPN NBA 2K5,PlayStation2,30-Sep-04,2004-09-30,2004
2300,Darksiders II,Xbox360,14-Aug-12,2012-08-14,2012
2301,FAR: Lone Sails,PlayStation4,02-Apr-19,2019-04-02,2019
2302,Valkyria Chronicles 4,PC,25-Sep-18,2018-09-25,2018
2303,Overcooked! 2,XboxOne,07-Aug-18,2018-08-07,2018
2304,Mega Man Legacy Collection,Switch,22-May-18,2018-05-22,2018
2305,FIFA 18,XboxOne,26-Sep-17,2017-09-26,2017
2306,Final Fantasy X / X-2 HD Remaster,PC,12-May-16,2016-05-12,2016
2307,Battlefield 3: Back to Karkand,Xbox360,13-Dec-11,2011-12-13,2011
2308,Bloodstained: Ritual of the Night,PlayStation4,18-Jun-19,2019-06-18,2019
2309,N+,Xbox360,20-Feb-08,2008-02-20,2008
2310,Guild Wars 2: Path of Fire,PC,22-Sep-17,2017-09-22,2017
2311,Fallout 3: Point Lookout,Xbox360,23-Jun-09,2009-06-23,2009
2312,Baldur's Gate: Dark Alliance,Xbox,22-Oct-02,2002-10-22,2002
2313,No More Heroes,Wii,22-Jan-08,2008-01-22,2008
2314,Fight Night Round 3,Xbox,23-Feb-06,2006-02-23,2006
2315,Shin Megami Tensei IV,3DS,16-Jul-13,2013-07-16,2013
2316,Sonic Mania,XboxOne,15-Aug-17,2017-08-15,2017
2317,Hellblade: Senua's Sacrifice,PC,07-Aug-17,2017-08-07,2017
2318,Bayonetta & Vanquish,XboxOne,18-Feb-20,2020-02-18,2020
2319,Assassin's Creed IV: Black Flag,PlayStation4,12-Nov-13,2013-11-12,2013
2320,Silent Storm,PC,20-Jan-04,2004-01-20,2004
2321,Need for Speed Underground,GameCube,17-Nov-03,2003-11-17,2003
2322,FIFA Soccer 2004,GameCube,04-Nov-03,2003-11-04,2003
2323,Command & Conquer: Generals - Zero Hour,PC,22-Sep-03,2003-09-22,2003
2324,Homeworld 2,PC,16-Sep-03,2003-09-16,2003
2325,Wakeboarding Unleashed Featuring Shaun Murray,PlayStation2,10-Jun-03,2003-06-10,2003
2326,Phantasy Star Online Episode I & II,Xbox,15-Apr-03,2003-04-15,2003
2327,Galactic Civilizations,PC,26-Mar-03,2003-03-26,2003
2328,Rygar: The Legendary Adventure,PlayStation2,25-Nov-02,2002-11-25,2002
2329,EverQuest: The Shadows of Luclin,PC,02-Dec-01,2001-12-02,2001
2330,The Typing of the Dead,Dreamcast,23-Jan-01,2001-01-23,2001
2331,Halo 3: ODST,Xbox360,22-Sep-09,2009-09-22,2009
2332,Ghost Trick: Phantom Detective,DS,11-Jan-11,2011-01-11,2011
2333,Pure,PlayStation3,23-Sep-08,2008-09-23,2008
2334,Crash Team Racing: Nitro-Fueled,PlayStation4,21-Jun-19,2019-06-21,2019
2335,Wreckfest,XboxOne,26-Aug-19,2019-08-26,2019
2336,PixelJunk Monsters,PlayStation3,24-Jan-08,2008-01-24,2008
2337,MLB Power Pros,Wii,03-Oct-07,2007-10-03,2007
2338,Forgotton Anne,XboxOne,15-May-18,2018-05-15,2018
2339,Orcs Must Die!,PC,11-Oct-11,2011-10-11,2011
2340,Tony Hawk's Underground 2,PlayStation2,04-Oct-04,2004-10-04,2004
2341,Persona Q: Shadow of the Labyrinth,3DS,25-Nov-14,2014-11-25,2014
2342,DiRT,Xbox360,19-Jun-07,2007-06-19,2007
2343,Life is Strange,PC,20-Oct-15,2015-10-20,2015
2344,Comet Crash,PlayStation3,02-Apr-09,2009-04-02,2009
2345,Kingdom Hearts III,PlayStation4,29-Jan-19,2019-01-29,2019
2346,The Incredible Hulk: Ultimate Destruction,PlayStation2,23-Aug-05,2005-08-23,2005
2347,Steins;Gate,PlayStationVita,05-Jun-15,2015-06-05,2015
2348,Beyond Good & Evil HD,PlayStation3,28-Jun-11,2011-06-28,2011
2349,Fable: The Lost Chapters,PC,20-Sep-05,2005-09-20,2005
2350,Resident Evil 5,Xbox360,13-Mar-09,2009-03-13,2009
2351,Mega Man 9,Wii,22-Sep-08,2008-09-22,2008
2352,WHAT THE GOLF?,PC,19-Sep-19,2019-09-19,2019
2353,Call of Duty: Black Ops 4,PC,12-Oct-18,2018-10-12,2018
2354,Prey: Mooncrash,PlayStation4,11-Jun-18,2018-06-11,2018
2355,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PlayStationVita,17-Dec-13,2013-12-17,2013
2356,Racing Gears Advance,GameBoyAdvance,08-Feb-05,2005-02-08,2005
2357,Dead or Alive Ultimate,Xbox,26-Oct-04,2004-10-26,2004
2358,Darkest Dungeon,PlayStation4,27-Sep-16,2016-09-27,2016
2359,Street Fighter X Tekken,Xbox360,06-Mar-12,2012-03-06,2012
2360,LEGO Star Wars II: The Original Trilogy,PSP,12-Sep-06,2006-09-12,2006
2361,Deus Ex: Mankind Divided,PC,23-Aug-16,2016-08-23,2016
2362,Bleed 2,PC,08-Feb-17,2017-02-08,2017
2363,Call of Duty: Black Ops II,Xbox360,13-Nov-12,2012-11-13,2012
2364,Madden NFL 11,PlayStation3,10-Aug-10,2010-08-10,2010
2365,Bushido Blade,PlayStation,30-Sep-97,1997-09-30,1997
2366,NBA 2K10,PlayStation3,06-Oct-09,2009-10-06,2009
2367,NBA 2K7,Xbox,25-Sep-06,2006-09-25,2006
2368,Resident Evil HD Remaster,PlayStation4,20-Jan-15,2015-01-20,2015
2369,Unreal Tournament III,PC,19-Nov-07,2007-11-19,2007
2370,This War of Mine,PC,14-Nov-14,2014-11-14,2014
2371,Devil Daggers,PC,18-Feb-16,2016-02-18,2016
2372,Puyo Puyo Tetris,PlayStation4,25-Apr-17,2017-04-25,2017
2373,Dark Souls II: Crown of the Old Iron King,PlayStation3,26-Aug-14,2014-08-26,2014
2374,NBA Ballers,PlayStation2,05-Apr-04,2004-04-05,2004
2375,Genma Onimusha,Xbox,28-Jan-02,2002-01-28,2002
2376,Space Station Silicon Valley,Nintendo64,21-Oct-98,1998-10-21,1998
2377,Persona 4 Arena,Xbox360,07-Aug-12,2012-08-07,2012
2378,The Elder Scrolls Online: Summerset,PC,21-May-18,2018-05-21,2018
2379,The Blackwell Epiphany,PC,24-Apr-14,2014-04-24,2014
2380,The Lord of the Rings Online: Siege of Mirkwood,PC,01-Dec-09,2009-12-01,2009
2381,Sine Mora,Xbox360,21-Mar-12,2012-03-21,2012
2382,One Finger Death Punch 2,PC,15-Apr-19,2019-04-15,2019
2383,Retro City Rampage DX,3DS,06-Feb-14,2014-02-06,2014
2384,Out of the Park Baseball 10,PC,02-Jun-09,2009-06-02,2009
2385,Need for Speed: Shift,Xbox360,15-Sep-09,2009-09-15,2009
2386,Colin McRae Rally 2005,Xbox,28-Sep-04,2004-09-28,2004
2387,Crash Bandicoot 4: It's About Time,XboxOne,02-Oct-20,2020-10-02,2020
2388,Tomb Raider: Anniversary,PC,05-Jun-07,2007-06-05,2007
2389,Need for Speed: Most Wanted,Xbox360,16-Nov-05,2005-11-16,2005
2390,Bangai-O Spirits,DS,12-Aug-08,2008-08-12,2008
2391,The Forest,PC,30-Apr-18,2018-04-30,2018
2392,Tekken Tag Tournament 2: Wii U Edition,WiiU,18-Nov-12,2012-11-18,2012
2393,Call of Duty: Modern Warfare Remastered,PlayStation4,04-Nov-16,2016-11-04,2016
2394,Need for Speed: Shift,PC,15-Sep-09,2009-09-15,2009
2395,MLB The Show 20,PlayStation4,13-Mar-20,2020-03-13,2020
2396,Hearts of Iron II,PC,04-Jan-05,2005-01-04,2005
2397,Pinball Hall of Fame: The Williams Collection,Xbox360,22-Sep-09,2009-09-22,2009
2398,Final Fantasy XIII,PlayStation3,09-Mar-10,2010-03-09,2010
2399,NCAA Football 10,Xbox360,14-Jul-09,2009-07-14,2009
2400,Final Fantasy XIII,PlayStation3,09-Mar-10,2010-03-09,2010
2401,NCAA Football 10,Xbox360,14-Jul-09,2009-07-14,2009
2402,ZEN Pinball 2: Portal Pinball,PlayStation4,26-May-15,2015-05-26,2015
2403,Star Wars Pinball,WiiU,11-Jul-13,2013-07-11,2013
2404,TimeSplitters: Future Perfect,Xbox,21-Mar-05,2005-03-21,2005
2405,FIFA Soccer 11,PC,28-Sep-10,2010-09-28,2010
2406,Project CARS,PC,06-May-15,2015-05-06,2015
2407,Crush,PSP,29-May-07,2007-05-29,2007
2408,Total War: WARHAMMER II - Curse of the Vampire Coast,PC,08-Nov-18,2018-11-08,2018
2409,Guardian Heroes,Xbox360,12-Oct-11,2011-10-12,2011
2410,Ring Fit Adventure,Switch,18-Oct-19,2019-10-18,2019
2411,Borderlands,PlayStation3,20-Oct-09,2009-10-20,2009
2412,Duck Game,Switch,01-May-19,2019-05-01,2019
2413,Need for Speed Underground,Xbox,17-Nov-03,2003-11-17,2003
2414,Freedom Fighters,GameCube,01-Oct-03,2003-10-01,2003
2415,High Heat Major League Baseball 2004,Xbox,05-Mar-03,2003-03-05,2003
2416,FIFA Soccer 2003,PC,02-Nov-02,2002-11-02,2002
2417,Icewind Dale II,PC,26-Aug-02,2002-08-26,2002
2418,Age of Empires,PC,30-Sep-97,1997-09-30,1997
2419,EverQuest II: Echoes of Faydwer,PC,13-Nov-06,2006-11-13,2006
2420,Pocket Card Jockey,3DS,05-May-16,2016-05-05,2016
2421,Dragon Quest Builders,PlayStation4,11-Oct-16,2016-10-11,2016
2422,Transistor,PlayStation4,20-May-14,2014-05-20,2014
2423,Bleach: The Blade of Fate,DS,09-Oct-07,2007-10-09,2007
2424,The Yakuza Remastered Collection,PlayStation4,20-Aug-19,2019-08-20,2019
2425,Lumines: Electronic Symphony,PlayStationVita,15-Feb-12,2012-02-15,2012
2426,Prince of Persia: Warrior Within,Xbox,30-Nov-04,2004-11-30,2004
2427,Splatoon 2,Switch,21-Jul-17,2017-07-21,2017
2428,Dark Souls II: Crown of the Ivory King,Xbox360,29-Sep-14,2014-09-29,2014
2429,Yoku's Island Express,PlayStation4,29-May-18,2018-05-29,2018
2430,Everyday Shooter,PlayStation3,11-Oct-07,2007-10-11,2007
2431,Crackdown,Xbox360,20-Feb-07,2007-02-20,2007
2432,EverQuest II,PC,08-Nov-04,2004-11-08,2004
2433,Yakuza 6: The Song of Life,PlayStation4,17-Apr-18,2018-04-17,2018
2434,Call of Duty 3,Xbox,07-Nov-06,2006-11-07,2006
2435,UFC Undisputed 2009,Xbox360,19-May-09,2009-05-19,2009
2436,Fable: The Lost Chapters,Xbox,18-Oct-05,2005-10-18,2005
2437,NBA 2K19,XboxOne,07-Sep-18,2018-09-07,2018
2438,Terraria,PC,16-May-11,2011-05-16,2011
2439,Madden NFL 09,Xbox360,12-Aug-08,2008-08-12,2008
2440,Destiny 2,PC,24-Oct-17,2017-10-24,2017
2441,Final Fantasy XIV Online: A Realm Reborn,PC,27-Aug-13,2013-08-27,2013
2442,MLB 06: The Show,PlayStation2,28-Feb-06,2006-02-28,2006
2443,Magic: Duels of the Planeswalkers 2014,Xbox360,26-Jun-13,2013-06-26,2013
2444,Card Hunter (2013),PC,12-Sep-13,2013-09-12,2013
2445,Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,PC,18-May-10,2010-05-18,2010
2446,Madden NFL 17,XboxOne,23-Aug-16,2016-08-23,2016
2447,Just Cause 2,PlayStation3,23-Mar-10,2010-03-23,2010
2448,Picross DS,DS,30-Jul-07,2007-07-30,2007
2449,Fight Night Round 3,PlayStation3,05-Dec-06,2006-12-05,2006
2450,Spider-Man 2,Xbox,28-Jun-04,2004-06-28,2004
2451,Spiritfarer,Switch,18-Aug-20,2020-08-18,2020
2452,Knights and Bikes,Switch,06-Feb-20,2020-02-06,2020
2453,Shovel Knight: King of Cards,Switch,10-Dec-19,2019-12-10,2019
2454,Battle Chef Brigade,PlayStation4,28-Aug-18,2018-08-28,2018
2455,The Banner Saga 3,Switch,26-Jul-18,2018-07-26,2018
2456,Steins;Gate,PlayStation3,05-Jun-15,2015-06-05,2015
2457,SteamWorld Dig,XboxOne,05-Jun-15,2015-06-05,2015
2458,Oddworld: Stranger's Wrath HD,PlayStationVita,18-Dec-12,2012-12-18,2012
2459,NHL 13,Xbox360,11-Sep-12,2012-09-11,2012
2460,Madden NFL 13,PlayStation3,28-Aug-12,2012-08-28,2012
2461,Fallout: New Vegas - Old World Blues,Xbox360,19-Jul-11,2011-07-19,2011
2462,Darksiders,PC,23-Sep-10,2010-09-23,2010
2463,Clubhouse Games,DS,09-Oct-06,2006-10-09,2006
2464,Super Puzzle Fighter II,GameBoyAdvance,31-Mar-03,2003-03-31,2003
2465,Tom Clancy's Rainbow Six 3: Raven Shield,PC,19-Mar-03,2003-03-19,2003
2466,Xenosaga Episode I: Der Wille zur Macht,PlayStation2,26-Feb-03,2003-02-26,2003
2467,World of Outlaws: Sprint Cars,PC,11-Feb-03,2003-02-11,2003
2468,Street Fighter Alpha 3,GameBoyAdvance,01-Dec-02,2002-12-01,2002
2469,Colin McRae Rally 2.0,PC,13-Feb-01,2001-02-13,2001
2470,Combat Flight Simulator 2: WWII Pacific Theater,PC,13-Oct-00,2000-10-13,2000
2471,Resistance 3,PlayStation3,06-Sep-11,2011-09-06,2011
