name,platform,r-date,developer,genre,players
Dark Souls II: Scholar of the First Sin,PC,01-Apr-15,FromSoftware,"Role-Playing,Action RPG",No info
MLB 10: The Show,PSP,01-Mar-10,SCEA,"Sports,Traditional,Team,Baseball,Sim,Sim",No info
Street Fighter Alpha Anthology,PlayStation2,13-Jun-06,Capcom,"Miscellaneous,Compilation",02-Jan
Prey,PlayStation4,05-May-17,ArkaneStudios,"General,Action,Shooter,First-Person,Arcade",No Online Multiplayer
NBA Live 06,Xbox,26-Sep-05,EACanada,"Sports,Traditional,Basketball,Sim",8  Online
Runbow,Switch,03-Jul-18,13AMGames,"Action,Platformer,2D",Up to 9 
Valiant Hearts: The Great War,PC,25-Jun-14,UbisoftMontpellier,"Platformer,2D,Action,Platformer,2D",No Online Multiplayer
Payday 2,PC,13-Aug-13,OverkillSoftware,"Action,Shooter,Shooter,First-Person,Fantasy,General,Fantasy,Arcade",Online Multiplayer
Virtua Tennis 3,PSP,26-Mar-07,SumoDigital,"Sports,Traditional,Individual,Tennis,Tennis",Up to 4 
Spider-Man: The Movie,Xbox,15-Apr-02,Treyarch,"Action,Beat-'Em-Up",1 Player
Dead Rising 2: Case Zero,Xbox360,31-Aug-10,BlueCastleGames,"Action Adventure,Horror,Survival",No info
Until Dawn,PlayStation4,25-Aug-15,SupermassiveGames,"Action Adventure,Horror,Survival,Adventure,3D,Third-Person",No Online Multiplayer
Castlevania: Lament of Innocence,PlayStation2,21-Oct-03,KCET,"Action Adventure,Horror",1 Player
Midnight Club: LA Remix,PSP,20-Oct-08,RockstarLondon,"Driving,Racing,Arcade,Arcade,Automobile",04-Jan
Dungeons of Dredmor,PC,13-Jul-11,GaslampGames,"Role-Playing,General,General,Roguelike",No info
Tekken 6,PlayStation3,27-Oct-09,NamcoBandaiGames,"Action,Fighting,Fighting,3D,3D",2
Geometry Wars 3: Dimensions,PC,25-Nov-14,LucidGames,"Action,Shooter,Static,Shoot-'Em-Up,Top-Down",No info
EA Sports Active 2,Wii,16-Nov-10,EACanada,"Sports,Miscellaneous,General,Exercise / Fitness",No info
Assassin's Creed: Director's Cut Edition,PC,08-Apr-08,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",No Online Multiplayer
NASCAR 06: Total Team Control,Xbox,30-Aug-05,EASports,"Driving,Racing,Stock Car",4  Online
Puzzle Dimension,PC,21-Jun-10,DoctorEntertainment,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No info
LittleBigPlanet 3,PlayStation4,18-Nov-14,SumoDigital,"Action,Platformer,2D",Up to 4 
Quantum Conundrum,PlayStation3,10-Jul-12,AirtightGames,"Miscellaneous,Puzzle,General,Puzzle,General",No info
DeathSpank,Xbox360,14-Jul-10,HotheadGames,"Action,Role-Playing,General,Action RPG",No info
Tom Clancy's Ghost Recon: Future Soldier,Xbox360,22-May-12,UbisoftParis,"Action,Shooter,Shooter,Third-Person,Tactical,Modern,Modern",No info
Ys Seven,PSP,16-Aug-10,Falcom,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer
Death Road to Canada,Switch,08-May-18,RocketcatGames,"Action,General",No Online Multiplayer
Winning Eleven: Pro Evolution Soccer 2007,Xbox360,06-Feb-07,KCET,"Sports,Traditional,Team,Soccer,Sim,Sim",04-Jan
The Unfinished Swan,PlayStation3,23-Oct-12,GiantSparrow,"Action,Adventure,General,General,3D,First-Person",No Online Multiplayer
Dissidia: Final Fantasy,PSP,25-Aug-09,SquareEnix,"Action,Fighting,Fighting,3D,3D",2
"Pokemon: Let's Go, Pikachu!",Switch,16-Nov-18,GameFreak,"Action RPG,Role-Playing,Trainer",Online Multiplayer
The New York Times Crosswords,DS,29-May-07,BudCat,"Miscellaneous,Puzzle,Puzzle,General,Logic,General",4  Online
The Lord of the Rings: The Battle for Middle-Earth II,Xbox360,05-Jul-06,EALA,"Strategy,Real-Time,Fantasy,General,Fantasy",Up to 4 
Prototype,PlayStation3,09-Jun-09,RadicalEntertainment,"Action Adventure,Sci-Fi,Sci-Fi,Open-World",No Online Multiplayer
Stick it to the Man!,PlayStation3,19-Nov-13,Zoink!,"Action,Platformer,Platformer,3D,3D",No info
The Walking Dead: Saints & Sinners,PlayStation4,05-May-20,SkydanceInteractive,"Action Adventure,Survival",No Online Multiplayer
Split/Second,PC,18-May-10,BlackRockStudio,"Driving,Racing,General,General,Arcade,Automobile",No Online Multiplayer
Dead Rising 2,Xbox360,28-Sep-10,BlueCastleGames,"Action Adventure,Horror,Horror,Open-World",Up to 4 
La-Mulana 2,PC,30-Jul-18,Nigoro,"Action Adventure,Open-World",No Online Multiplayer
Archangel: Hellfire,PC,17-Jul-18,SkydanceInteractive,"Simulation,Vehicle,Combat",No info
MTV Music Generator 3: This Is the Remix,Xbox,22-Jun-04,MixMax,"Miscellaneous,Music Maker",1 Player
ESPN Major League Baseball,PlayStation2,04-May-04,BlueShift,"Sports,Traditional,Baseball,Sim",04-Jan
Tak and the Power of Juju,GameBoyAdvance,15-Oct-03,AvalancheSoftware,"Action,Platformer,3D",1 Player
Final Fantasy Origins,PlayStation,08-Apr-03,TOSE,"Role-Playing,Console-style RPG",1 Player
Dynasty Tactics,PlayStation2,17-Sep-02,Koei,"Role-Playing,Strategy,Turn-Based,Console-style RPG,Historic",02-Jan
MLB Slugfest 20-03,Xbox,26-Aug-02,GratuitousGames,"Sports,Traditional,Baseball,Arcade",02-Jan
Giants: Citizen Kabuto,PlayStation2,20-Dec-01,DigitalMayhem,"Action,Shooter,Third-Person,Sci-Fi",1 Player
Parasite Eve II,PlayStation,12-Sep-00,SquareSoft,"Role-Playing,Action RPG",
For Honor,XboxOne,14-Feb-17,UbisoftMontreal,"Action Adventure,General",Up to 8 
A Hat in Time,PC,05-Oct-17,GearsforBreakfast,"Action,Platformer,3D",No Online Multiplayer
Ace Combat 7: Skies Unknown,XboxOne,18-Jan-19,BandaiNamcoGames,"Simulation,Flight,Combat",Up to 8 
Sang-Froid: Tales of Werewolves,PC,05-Apr-13,ArtificeStudio,"Action,Action Adventure,General,General",No info
The Incredible Adventures of Van Helsing: Final Cut,PC,06-Nov-15,NeocoreGames,"Role-Playing,Action RPG",No info
Def Jam: Fight for NY: The Takeover,PSP,29-Aug-06,AkiCorp.,"Action,Fighting,Fighting,Wrestling,3D,Wrestling",No Online Multiplayer
Hexic HD,Xbox360,22-Nov-05,CarbonatedGames,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",1 Player
WWE Day of Reckoning,GameCube,30-Aug-04,Yuke's,"Action,Fighting,Wrestling",04-Jan
Jotun: Valhalla Edition,WiiU,08-Sep-16,ThunderLotusGames,"Action,General",No info
Stella Glow,3DS,17-Nov-15,"ImageEpoch,Imageepoch","Strategy,Turn-Based,General",No Online Multiplayer
Edge,WiiU,21-Nov-13,TwoTribes,"General,Puzzle,Miscellaneous,Puzzle,General",No info
Pro Evolution Soccer 2012,Wii,15-Nov-11,Konami,"Sports,Traditional,Team,Football,Soccer,Sim,Sim,Sim",No info
Rochard,PlayStation3,27-Sep-11,RecoilGames,"Action,Adventure,General,General,Platformer,2D",No info
Alien: Isolation,PlayStation4,07-Oct-14,CreativeAssembly,"Action Adventure,Sci-Fi,General,Survival",No Online Multiplayer
Professor Layton VS Phoenix Wright Ace Attorney,3DS,29-Aug-14,Level5,"General,Puzzle,Miscellaneous,Puzzle,General",No Online Multiplayer
Mortal Kombat 11: Aftermath,XboxOne,26-May-20,NetherRealmStudios,"Action,Fighting,2D",No info
Knights And Bikes,PC,26-Aug-19,FoamSword,"Action Adventure,General",Online Multiplayer
CastleStorm,Xbox360,29-May-13,ZenStudios,"Strategy,General,General",No info
GRID,DS,05-Aug-08,FirebrandGames,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",1 Player
Call of Juarez: Gunslinger,PC,22-May-13,Techland,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",No Online Multiplayer
Ultimate Marvel vs. Capcom 3,Xbox360,15-Nov-11,Capcom,"Action,Fighting,Fighting,2D,2D",Up to 8 
Shin Megami Tensei: Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon,PlayStation2,12-May-09,AtlusCo.,"Role-Playing,General",No info
Catherine,PlayStation3,26-Jul-11,Atlus,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer
Crash Bandicoot N. Sane Trilogy,XboxOne,29-Jun-18,VicariousVisions,"Miscellaneous,Compilation",No Online Multiplayer
Blazing Chrome,Switch,11-Jul-19,"JoyMasher,SeavenStudio","Action,Platformer,2D",No Online Multiplayer
Rome: Total War Alexander,PC,19-Jun-06,CreativeAssembly,"Strategy,Real-Time,Historic,General,Historic",6  Online
Street Fighter Anniversary Collection,Xbox,22-Feb-05,Capcom,"Miscellaneous,Compilation",2  Online
Hob,PlayStation4,26-Sep-17,RunicGames,"Action,Action Adventure,General",No info
Pinball FX2 VR,PlayStation4,29-Nov-16,ZenStudios,"Action,Miscellaneous,General,Pinball",No info
Driver: San Francisco,PlayStation3,06-Sep-11,UbisoftReflections,"Driving,Racing,Mission-based,Arcade,Mission-based,Automobile",No info
The Banner Saga,PlayStation4,12-Jan-16,Stoic,"Role-Playing,General,Strategy,Turn-Based,Tactics",No info
Strong Bad's Cool Game for Attractive People Episode 3: Baddest of the Bands,PC,27-Oct-08,TelltaleGames,"Miscellaneous,Adventure,General,Compilation",No info
Trials Fusion,PlayStation4,15-Apr-14,RedLynx,"Driving,Racing,Arcade,Motorcycle,Automobile,Street,Street",Up to 4 
LocoRoco,PlayStation4,09-May-17,SonyInteractiveEntertainment,"Action,Platformer,2D",No info
Ion Fury,PC,15-Aug-19,"3DRealms,Voidpoint,LLC","Action,General,Shooter,First-Person,Arcade",No Online Multiplayer
Sam & Max Episode 102: Situation: Comedy,PC,20-Dec-06,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer
Prototype 2,PlayStation3,24-Apr-12,RadicalEntertainment,"Action Adventure,Sci-Fi,Sci-Fi,Open-World",No Online Multiplayer
Final Fantasy XIII-2,Xbox360,31-Jan-12,SquareEnix,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",No Online Multiplayer
LEGO Harry Potter: Years 1-4,Xbox360,29-Jun-10,Traveller'sTales,"Action Adventure,Adventure,General,Fantasy,General,Fantasy,Linear",No Online Multiplayer
Call of Duty: Warzone,XboxOne,10-Mar-20,InfinityWard,"Action,Shooter,First-Person,Tactical",Up to 64 
Spyro Reignited Trilogy,Switch,03-Sep-19,ToysforBob,"Miscellaneous,Compilation",No Online Multiplayer
Blazing Chrome,PC,11-Jul-19,JoyMasher,"Action,Platformer,2D",2
Gato Roboto,PC,30-May-19,Doinksoft,"Action,Platformer,2D",No Online Multiplayer
The Awesome Adventures of Captain Spirit,PC,25-Jun-18,DONTNODEntertainment,"Action Adventure,General",No Online Multiplayer
The Next Penelope,Switch,21-Dec-17,AurelienRegard,"Action,Racing,General,Arcade,Futuristic",No Online Multiplayer
Rumu,PC,12-Dec-17,RobotHouse,"Adventure,General",No Online Multiplayer
Life is Strange: Before the Storm - Episode 1: Awake,XboxOne,31-Aug-17,DeckNineGames,"Action Adventure,General",No info
Killing Floor 2,XboxOne,29-Aug-17,TripwireInteractive,"Action,Shooter,First-Person,Arcade",No info
Zen Pinball 2: Bethesda Pinball,PlayStation4,06-Dec-16,ZenStudios,"Action,Pinball",No info
Fallout 4: Far Harbor,PC,19-May-16,BethesdaGameStudios,"Role-Playing,Western-Style",No info
King's Quest Chapter 3: Once Upon a Climb,PlayStation4,26-Apr-16,TheOddGentlemen,"Adventure,General",No info
Goetia,PC,14-Apr-16,Sushee,"Adventure,Point-and-Click",No Online Multiplayer
Dying Light: The Following,PC,09-Feb-16,Techland,"Action Adventure,Survival",No info
Monster Tale,DS,16-Mar-11,DreamRift,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer
Tropico 3: Absolute Power,PC,17-May-10,"Haemimont,HaemimontGames","Strategy,Tycoon,Management,Tycoon,Government",No info
Age of Zombies,PSP,25-Feb-10,HalfbrickStudios,"Action Adventure,Horror,Horror,Survival",No info
Bit.Trip Void,Wii,23-Nov-09,GaijinGames,"Action,Miscellaneous,Rhythm,Music,Music",04-Jan
NBA 09 The Inside,PSP,07-Oct-08,SCEASanDiegoStudios,"Sports,Traditional,Team,Basketball,Sim,Sim",02-Jan
Sam & Max Episode 106: Bright Side of the Moon,PC,26-Apr-07,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer
Tiger Woods PGA Tour 07,PlayStation2,10-Oct-06,EARedwoodShores,"Sports,Traditional,Golf,Sim",4  Online
MTV Music Generator 3: This Is the Remix,PlayStation2,22-Jun-04,MixMax,"Miscellaneous,Music Maker",1 Player
Activision Anthology,GameBoyAdvance,09-Dec-03,Aspyr,"Miscellaneous,Compilation",02-Jan
Gladius,Xbox,28-Oct-03,LucasArts,"Strategy,Turn-Based,Fantasy",04-Jan
Day of Defeat,PC,06-May-03,ValveSoftware,"Action,Shooter,Shooter,First-Person,Historic,Tactical,Historic",1-32 
Tekken 4,PlayStation2,23-Sep-02,Namco,"Action,Fighting,3D",02-Jan
Twisted Metal: Black Online,PlayStation2,27-Aug-02,IncognitoInc.,"Driving,Car Combat",02-Jan
Jumpgate: The Reconstruction Initiative,PC,23-Sep-01,NetDevil,"Simulation,Sci-Fi,Space,Large Spaceship,Civilian",Massively Multiplayer
Aqua Aqua,PlayStation2,09-Jan-01,ZedTwoLimited,"Miscellaneous,Puzzle,Puzzle,General",02-Jan
Space Empires IV,PC,07-Nov-00,MalfadorMachinations,"Strategy,Turn-Based,General,General,4X",Up to 20 
Sega Marine Fishing,Dreamcast,20-Aug-00,Sega,"Sports,Nature,Fishing",No info
Pro Evolution Soccer 2019,PlayStation4,28-Aug-18,Konami,"Sports,Team,Soccer,Sim",Up to 22 
Mirror's Edge,Xbox360,11-Nov-08,EADICE,"Action,Action Adventure,Shooter,Modern,General,Modern,First-Person,Modern",1 Player
Tom Clancy's The Division,PC,08-Mar-16,MassiveEntertainment,"Shooter,Modern,Modern,Action,Shooter,Third-Person,Tactical,Arcade",No info
Resident Evil 4: Ultimate HD Edition,PC,27-Feb-14,"Capcom,QLOC","Action Adventure,Horror,Survival",No Online Multiplayer
Mario vs. Donkey Kong: Mini-Land Mayhem,DS,14-Nov-10,"Nintendo,NintendoSoftwareTechnology","Action,Platformer,Platformer,2D,2D",No info
Sam & Max Episode 203: Night of the Raving Dead,PC,12-Feb-08,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer
Metroid Prime Pinball,DS,24-Oct-05,FuseGamesLimited,"Action,Miscellaneous,Parlor,Pinball,Pinball",08-Jan
Mega Man & Bass,GameBoyAdvance,10-Mar-03,Capcom,"Action,Platformer,2D",1 Player
Alien Hominid HD,Xbox360,28-Feb-07,TheBehemoth,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical,Horizontal",4  Online
F.E.A.R. 2: Project Origin,PlayStation3,10-Feb-09,MonolithProductions,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",16  Online
Black,PlayStation2,28-Feb-06,CriterionGames,"Action,Shooter,First-Person,Modern",1 Player
FlatOut: Ultimate Carnage,PC,26-Aug-08,Bugbear,"Driving,Racing,Demolition Derby,Arcade,Demolition Derby,Automobile",8  Online
Ghostbusters: The Video Game,Xbox360,16-Jun-09,TerminalReality,"Action,General,General",Up to 4 
Naruto Shippuden: Ultimate Ninja Storm 4,PlayStation4,09-Feb-16,CyberConnect2,"Action,Fighting,3D",Up to 8 
FIFA 20,XboxOne,24-Sep-19,ElectronicArts,"Sports,Team,Soccer,Sim",Up to 22 
Just Dance 2014,Xbox360,08-Oct-13,Ubisoft,"Action,Miscellaneous,Rhythm,Dancing,Dancing",No info
Retro City Rampage,PlayStationVita,09-Oct-12,VblankEntertainmentInc.,"Action Adventure,Adventure,3D,Open-World,Modern,Third-Person,Modern",No info
Fire Pro Wrestling World,PlayStation4,28-Aug-18,"SpikeChunsoft,ZEXcorporation","Sports,Individual,Combat,Wrestling",Up to 8 
Spellbreak,PC,03-Sep-20,"Proletariat,Inc.","Action,Shooter,Third-Person,Arcade",Online Multiplayer
Call of Duty: Warzone,PlayStation4,10-Mar-20,InfinityWard,"Action,Shooter,First-Person,Tactical",Up to more than 64 
King Arthur: The Role-Playing Wargame,PC,24-Nov-09,NeocoreGames,"Strategy,Real-Time,Fantasy,General",No info
Toki Tori,Wii,02-Jun-08,TwoTribes,"Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General",1 Player
Rock of Ages 2: Bigger & Boulder,PlayStation4,28-Aug-17,ACETeam,"Action,General",Up to 4 
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,Switch,20-Aug-19,Konami,"Strategy,Turn-Based,Card Battle",No Online Multiplayer
Kelvin and the Infamous Machine,PC,21-Jul-16,Blyts,"Adventure,Point-and-Click",No Online Multiplayer
Final Fantasy XIII-2,PlayStation3,31-Jan-12,SquareEnix,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",No Online Multiplayer
Auditorium HD,PlayStation3,23-Nov-10,CipherPrime,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No info
OlliOlli,PlayStationVita,21-Jan-14,TomHegarty,"Sports,Alternative,Individual,Skateboarding,Skate / Skateboard",No info
Guitar Hero III: Legends of Rock,PC,13-Nov-07,Aspyr,"Action,Miscellaneous,Rhythm,Music,Music",02-Jan
Sid Meier's Civilization: Beyond Earth - Rising Tide,PC,09-Oct-15,FiraxisGames,"Strategy,Turn-Based,General,4X",No info
Smuggler's Run: Warzones,GameCube,07-Aug-02,RockstarSanDiego,"Driving,Mission-based",04-Jan
Golden Sun: Dark Dawn,DS,29-Nov-10,CamelotSoftwarePlanning,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",No Online Multiplayer
Hasbro Family Game Night: Scrabble,Xbox360,18-Mar-09,ElectronicArts,"Miscellaneous,Board Games,Board / Card Game",No info
Memoria (2013),PC,29-Aug-13,DaedalicEntertainment,"Adventure,General,General,Point-and-Click",No Online Multiplayer
FRAMED Collection,Switch,17-May-18,LoveshackEntertainment,"Miscellaneous,Compilation",No Online Multiplayer
Joe Dever's Lone Wolf,Switch,16-Feb-18,"Bulkypix,ForgeReply","Action,General",No Online Multiplayer
The Last Door,PC,20-May-14,TheGameKitchen,"Adventure,General",No Online Multiplayer
DeathSpank,PlayStation3,13-Jul-10,HotheadGames,"Role-Playing,Action RPG,Action RPG",No info
MLB 09: The Show,PlayStation2,03-Mar-09,SCEASanDiegoStudios,"Sports,Traditional,Baseball,Sim",No info
NHL 2K7,PlayStation3,13-Nov-06,KushGames,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",Up to 8 
Shadowgrounds Survivor,PC,14-Nov-07,"Frozenbyte,Inc.","Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer
Prey,Xbox360,11-Jul-06,VenomGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",8  Online
Fight'N Rage,Switch,26-Sep-19,sebagamesdev,"Action,Beat-'Em-Up,2D",Up to 3 
Mega Man 11,PC,02-Oct-18,Capcom,"Action,Platformer,2D",No Online Multiplayer
Shooty Fruity,PlayStation4,19-Dec-17,nDreams,"Action,Shooter,Light Gun",No Online Multiplayer
The Inner World: The Last Wind Monk,PC,20-Oct-17,Fizbin,"Adventure,General",No Online Multiplayer
Cat Quest,PC,08-Aug-17,TheGentlebros,"Role-Playing,Action RPG",No Online Multiplayer
Teslagrad,WiiU,11-Sep-14,RainGames,"Action,Platformer,Platformer,2D,2D",No info
Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,Wii,27-Jul-09,TelltaleGames,"Adventure,General,3D,Fantasy,Third-Person,Fantasy",1 Player
OutRun2,Xbox,25-Oct-04,SumoDigital,"Driving,Racing,Arcade",8  Online
Armed and Dangerous,Xbox,02-Dec-03,PlanetMoonStudios,"Action,Shooter,Third-Person,Sci-Fi",1 Player
Gothic II,PC,28-Oct-03,PiranhaBytes,"Role-Playing,PC-style RPG,Western-Style",1 Player
Port Royale,PC,04-Jun-03,"AscaronEntertainmentGmbH,AscaronEntertainment","Strategy,Real-Time,Historic,General",08-Jan
Deadly Dozen: Pacific Theater,PC,31-Oct-02,Nfusion,"Action,Shooter,Shooter,First-Person,Tactical,Historic,Historic",1-32 
Shattered Galaxy,PC,21-Aug-01,Nexon,"Role-Playing,Strategy,General,General,Massively Multiplayer",Massively Multiplayer
Namco Museum,GameBoyAdvance,10-Jun-01,MassMedia,"Miscellaneous,Compilation",No info
Close Combat: Invasion: Normandy,PC,10-Oct-00,AtomicGames,"Strategy,Turn-Based,Real-Time,Historic,Tactics",02-Jan
Battlefield 4,Xbox360,29-Oct-13,EADICE,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 24 
ZEN Pinball 3D,3DS,12-Jan-12,ZenStudios,"Action,Miscellaneous,Parlor,Pinball,Pinball",1 Player
King's Bounty: The Legend,PC,23-Sep-08,KatauriInteractive,"Strategy,Turn-Based,Fantasy,General,Fantasy,Tactics",1 Player
Metal Slug Advance,GameBoyAdvance,02-Dec-04,NoiseFactory,"Action,Shooter,Scrolling",1 Player
Buffy the Vampire Slayer,Xbox,18-Aug-02,DoubleHelixGames,"Action,Beat-'Em-Up",1 Player
Bleed 2,Switch,08-Mar-18,BootdiskRevolution,"Action,Platformer,2D",No Online Multiplayer
ECHO,PlayStation4,10-Oct-17,UltraUltra,"Action Adventure,General",No Online Multiplayer
Hitman - Episode 2: Sapienza,XboxOne,26-Apr-16,IoInteractive,"Action Adventure,General",No info
SMITE,PlayStation4,24-Mar-16,Hi-RezStudios,"Strategy,Real-Time,MOBA",Up to 10 
Wolfenstein: The New Order,XboxOne,20-May-14,MachineGames,"General,Shooter,Historic,Action,Shooter,First-Person,Historic,Arcade",No Online Multiplayer
RAGE,PC,03-Oct-11,idSoftware,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 4 
Call of Duty: Black Ops - Escalation,Xbox360,03-May-11,Treyarch,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",No info
The Misadventures of P.B. Winterbottom,PC,20-Apr-10,TheOddGentlemen,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No info
UEFA EURO 2008,PlayStation3,19-May-08,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",Up to 14 
Heavenly Sword,PlayStation3,12-Sep-07,NinjaTheory,"Action,Beat-'Em-Up,Beat-'Em-Up,3D",No Online Multiplayer
Dragon Age II,Xbox360,08-Mar-11,BioWare,"Role-Playing,PC-style RPG,Action RPG",No Online Multiplayer
NCAA Football 13,PlayStation3,10-Jul-12,EATiburon,"Sports,Traditional,Team,Football,Sim,Sim",No info
Tales of Vesperia,Xbox360,26-Aug-08,BandaiNamcoGames,"Role-Playing,Console-style RPG,Action RPG,Console-style RPG,Japanese-Style",No Online Multiplayer
Fat Princess,PlayStation3,30-Jul-09,TitanStudios,"Action,Strategy,General,Real-Time,General",Up to 32 
Tiger Woods PGA Tour 08,PlayStation3,28-Aug-07,EASaltLake,"Sports,Traditional,Individual,Golf,Sim,Sim",04-Jan
Uru: Ages Beyond Myst,PC,11-Nov-03,CyanWorlds,"Adventure,3D,First-Person,Fantasy,Fantasy",Massively Multiplayer
Tales of Vesperia,Xbox360,26-Aug-08,BandaiNamcoGames,"Role-Playing,Console-style RPG,Action RPG,Console-style RPG,Japanese-Style",No Online Multiplayer
Fat Princess,PlayStation3,30-Jul-09,TitanStudios,"Action,Strategy,General,Real-Time,General",Up to 32 
Tiger Woods PGA Tour 08,PlayStation3,28-Aug-07,EASaltLake,"Sports,Traditional,Individual,Golf,Sim,Sim",04-Jan
Uru: Ages Beyond Myst,PC,11-Nov-03,CyanWorlds,"Adventure,3D,First-Person,Fantasy,Fantasy",Massively Multiplayer
Resident Evil 3,PlayStation4,03-Apr-20,"Capcom,M-Two","Action Adventure,Survival",Up to 5 
Pillars of Eternity: The White March - Part 2,PC,16-Feb-16,ObsidianEntertainment,"Role-Playing,Western-Style",No Online Multiplayer
Greed Corp,Xbox360,24-Feb-10,W!Games,"Strategy,Turn-Based,Modern,General,Modern",No info
WWE SmackDown vs. Raw 2009,Wii,09-Nov-08,Yuke's,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling",Up to 4 
Little Inferno,WiiU,18-Nov-12,TomorrowCorporation,"Miscellaneous,Puzzle,Action,Puzzle,Action",No info
Guild Wars: Eye of the North,PC,28-Aug-07,ArenaNet,"Role-Playing,General,General,Massively Multiplayer",Massively Multiplayer
Outlast 2,Switch,27-Mar-18,RedBarrels,"Action Adventure,Survival",No Online Multiplayer
Summon Night: Swordcraft Story 2,GameBoyAdvance,17-Oct-06,Flight-Plan,"Role-Playing,Action RPG",02-Jan
Driveclub Bikes,PlayStation4,27-Oct-15,EvolutionStudios,"Racing,Simulation,Automobile",Up to 12 
Anomaly: Warzone Earth,Xbox360,06-Apr-12,11bitstudios,"Strategy,Real-Time,General,Sci-Fi,General",No info
DOOM,Switch,10-Nov-17,"idSoftware,PanicButton","Action,Shooter,First-Person,Arcade",Up to 12 
Semblance,PC,24-Jul-18,Nyamakop,"Action,Platformer,2D",No Online Multiplayer
Batman: The Enemy Within - The Telltale Series,PC,08-Aug-17,TelltaleGames,"Adventure,Point-and-Click",No Online Multiplayer
Dead Space: Extraction,PlayStation3,25-Jan-11,VisceralGames,"Action,Action Adventure,Horror,Horror,Shooter,Light Gun",No Online Multiplayer
Project: Snowblind,Xbox,23-Feb-05,CrystalDynamics,"Action,Shooter,First-Person,Sci-Fi",16  Online
LEGO Harry Potter: Years 1-4,Wii,29-Jun-10,Traveller'sTales,"Action Adventure,Adventure,General,Fantasy,General,Fantasy,Linear",No Online Multiplayer
LEGO Harry Potter: Years 1-4,PlayStation3,29-Jun-10,Traveller'sTales,"Action Adventure,Adventure,General,Fantasy,General,Fantasy,Linear",No Online Multiplayer
Star Wars: Squadrons,PlayStation4,02-Oct-20,MotiveStudios,"Simulation,Space,Combat",Up to 10 
Trackmania Turbo,PC,24-Mar-16,Nadeo,"Racing,Arcade,Automobile",No info
Tales From The Borderlands: Episode 4 - Escape Plan Bravo,PC,18-Aug-15,TelltaleGames,"Adventure,General",No Online Multiplayer
Pit People,XboxOne,02-Mar-18,TheBehemoth,"Action,Strategy,Turn-Based,General,Tactics",No info
Nioh: Defiant Honor,PlayStation4,25-Jul-17,TeamNinja,"Role-Playing,Action RPG",No info
Enslaved: Odyssey to the West - Pigsy's Perfect 10,PlayStation3,23-Nov-10,NinjaTheory,"Action Adventure,Modern,General,Modern",No info
Mini Ninjas,Wii,08-Sep-09,IoInteractive,"Action Adventure,Adventure,General,Fantasy,General,Fantasy",No info
Carcassonne,Xbox360,27-Jun-07,SierraOnline,"Miscellaneous,Board Games,Board Games,Board / Card Game",5  Online
Harvest Moon: A Wonderful Life,GameCube,16-Mar-04,Marvelous,"Role-Playing,Console-style RPG",1 Player
Sphinx and the Cursed Mummy,Xbox,10-Nov-03,EurocomEntertainmentSoftware,"Action Adventure,Fantasy",1 Player
EverQuest: Lost Dungeons of Norrath,PC,08-Sep-03,SonyOnlineEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",No info
Battlefield 1942: Secret Weapons of WWII,PC,04-Sep-03,DigitalIllusions,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",1-32 
Robot Alchemic Drive,PlayStation2,04-Nov-02,Sandlot,"Simulation,Sci-Fi,Mech",02-Jan
