name,platform,r-date,developer,genre,players
The Legend of Zelda: Majora's Mask,Nintendo64,25-Oct-00,Nintendo,"Action Adventure,Fantasy",1 Player
The Last of Us,PlayStation3,14-Jun-13,NaughtyDog,"Modern,Adventure,General,Action Adventure,General,Modern",Up to 8 
The Legend of Zelda: Twilight Princess,Wii,19-Nov-06,Nintendo,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer
Madden NFL 2003,PlayStation2,12-Aug-02,EASports,"Sports,Traditional,Football,Sim",02-Jan
Tony Hawk's Pro Skater 2,GameBoyAdvance,30-May-01,VicariousVisions,"Sports,Alternative,Skateboarding",No info
Persona 5 Royal,PlayStation4,31-Mar-20,Atlus,"Role-Playing,Japanese-Style",No Online Multiplayer
The Last of Us Remastered,PlayStation4,29-Jul-14,NaughtyDog,"Action Adventure,General,Modern",Up to 8 
Portal 2,PC,18-Apr-11,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No info
Red Dead Redemption,Xbox360,18-May-10,RockstarSanDiego,"Action,Action Adventure,Shooter,Historic,Historic,Open-World,Third-Person,Historic",Up to 16 
Portal 2,Xbox360,19-Apr-11,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",2
Metal Gear Solid V: The Phantom Pain,XboxOne,01-Sep-15,"KojimaProductions,MobyDickStudio","Modern,Modern,Action Adventure,Open-World",Up to 16 
Portal 2,PlayStation3,19-Apr-11,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",2
World of Goo,Wii,13-Oct-08,2DBoy,"Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General",04-Jan
The Elder Scrolls V: Skyrim,PC,10-Nov-11,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer
BioShock Infinite,PlayStation3,26-Mar-13,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer
Final Fantasy IX,PlayStation,13-Nov-00,SquareSoft,"Role-Playing,Console-style RPG",1 Player
Call of Duty: Modern Warfare 2,PlayStation3,10-Nov-09,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 
God of War,PlayStation4,20-Apr-18,SCESantaMonica,"Action Adventure,Linear",No Online Multiplayer
Tony Hawk's Pro Skater 4,PlayStation2,23-Oct-02,NeversoftEntertainment,"Sports,Alternative,Skateboarding",08-Jan
Devil May Cry,PlayStation2,16-Oct-01,Capcom,"Action Adventure,Fantasy",1 Player
Call of Duty 4: Modern Warfare,PlayStation3,05-Nov-07,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 
Madden NFL 2002,PlayStation2,19-Aug-01,EASports,"Sports,Traditional,Football,Sim",08-Jan
Batman: Arkham City,Xbox360,18-Oct-11,RocksteadyStudios,"Action Adventure,Fantasy,Fantasy,Open-World",No Online Multiplayer
Mass Effect 2,PC,26-Jan-10,BioWare,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer
The Legend of Zelda: Ocarina of Time 3D,3DS,19-Jun-11,GREZZO,"Miscellaneous,Action Adventure,Fantasy,Fantasy,Compilation,Open-World",No Online Multiplayer
Chrono Cross,PlayStation,15-Aug-00,SquareSoft,"Role-Playing,Console-style RPG",1 Player
