,platform,genre,players
54,Wii,General,No Online Multiplayer
54,Wii,Fantasy,No Online Multiplayer
54,Wii,Open-World,No Online Multiplayer
55,PlayStation2,Sports,02-Jan
55,PlayStation2,Traditional,02-Jan
55,PlayStation2,Sim,02-Jan
57,PlayStation4,Role-Playing,No Online Multiplayer
57,PlayStation4,Japanese-Style,No Online Multiplayer
58,PlayStation4,Action Adventure,Up to 8 
58,PlayStation4,General,Up to 8 
58,PlayStation4,Modern,Up to 8 
60,Xbox360,Action,Up to 16 
60,Xbox360,Action Adventure,Up to 16 
60,Xbox360,Shooter,Up to 16 
60,Xbox360,Historic,Up to 16 
60,Xbox360,Historic,Up to 16 
60,Xbox360,Open-World,Up to 16 
60,Xbox360,Third-Person,Up to 16 
60,Xbox360,Historic,Up to 16 
61,Xbox360,Action,2
61,Xbox360,Shooter,2
61,Xbox360,Shooter,2
61,Xbox360,First-Person,2
61,Xbox360,Sci-Fi,2
61,Xbox360,Sci-Fi,2
61,Xbox360,Arcade,2
62,XboxOne,Modern,Up to 16 
62,XboxOne,Modern,Up to 16 
62,XboxOne,Action Adventure,Up to 16 
62,XboxOne,Open-World,Up to 16 
63,PlayStation3,Action,2
63,PlayStation3,Shooter,2
63,PlayStation3,Shooter,2
63,PlayStation3,First-Person,2
63,PlayStation3,Sci-Fi,2
63,PlayStation3,Sci-Fi,2
63,PlayStation3,Arcade,2
64,Wii,Miscellaneous,04-Jan
64,Wii,Puzzle,04-Jan
64,Wii,Action,04-Jan
64,Wii,Puzzle,04-Jan
64,Wii,General,04-Jan
64,Wii,Puzzle,04-Jan
64,Wii,General,04-Jan
65,PC,Role-Playing,No Online Multiplayer
65,PC,First-Person,No Online Multiplayer
65,PC,First-Person,No Online Multiplayer
66,PlayStation3,Action,No Online Multiplayer
66,PlayStation3,Shooter,No Online Multiplayer
66,PlayStation3,Shooter,No Online Multiplayer
66,PlayStation3,First-Person,No Online Multiplayer
66,PlayStation3,Sci-Fi,No Online Multiplayer
66,PlayStation3,Sci-Fi,No Online Multiplayer
66,PlayStation3,Arcade,No Online Multiplayer
67,PlayStation,Role-Playing,1 Player
67,PlayStation,Console-style RPG,1 Player
69,PlayStation4,Action Adventure,No Online Multiplayer
70,PlayStation2,Sports,08-Jan
71,PlayStation2,Action Adventure,1 Player
71,PlayStation2,Fantasy,1 Player
73,PlayStation2,Sports,08-Jan
73,PlayStation2,Traditional,08-Jan
73,PlayStation2,Sim,08-Jan
74,Xbox360,Action Adventure,No Online Multiplayer
74,Xbox360,Fantasy,No Online Multiplayer
74,Xbox360,Fantasy,No Online Multiplayer
74,Xbox360,Open-World,No Online Multiplayer
75,PC,Role-Playing,No Online Multiplayer
75,PC,Action RPG,No Online Multiplayer
75,PC,Action RPG,No Online Multiplayer
76,3DS,Miscellaneous,No Online Multiplayer
76,3DS,Action Adventure,No Online Multiplayer
76,3DS,Fantasy,No Online Multiplayer
76,3DS,Fantasy,No Online Multiplayer
76,3DS,Compilation,No Online Multiplayer
76,3DS,Open-World,No Online Multiplayer
77,PlayStation,Role-Playing,1 Player
77,PlayStation,Console-style RPG,1 Player
78,XboxOne,Action,No Online Multiplayer
78,XboxOne,Platformer,No Online Multiplayer
78,XboxOne,2D,No Online Multiplayer
79,PlayStation3,Action,No Online Multiplayer
79,PlayStation3,Shooter,No Online Multiplayer
79,PlayStation3,Shooter,No Online Multiplayer
79,PlayStation3,First-Person,No Online Multiplayer
79,PlayStation3,Sci-Fi,No Online Multiplayer
79,PlayStation3,Sci-Fi,No Online Multiplayer
79,PlayStation3,Arcade,No Online Multiplayer
80,PlayStation3,Role-Playing,No Online Multiplayer
80,PlayStation3,Action RPG,No Online Multiplayer
80,PlayStation3,Action RPG,No Online Multiplayer
81,PC,Action Adventure,No Online Multiplayer
81,PC,Modern,No Online Multiplayer
81,PC,Modern,No Online Multiplayer
81,PC,Open-World,No Online Multiplayer
82,PlayStation2,Sports,08-Jan
82,PlayStation2,Traditional,08-Jan
82,PlayStation2,Sim,08-Jan
83,Xbox360,Action,8  Online
83,Xbox360,Shooter,8  Online
83,Xbox360,Shooter,8  Online
83,Xbox360,Third-Person,8  Online
83,Xbox360,Sci-Fi,8  Online
83,Xbox360,Sci-Fi,8  Online
83,Xbox360,Arcade,8  Online
84,Xbox360,Role-Playing,No Online Multiplayer
84,Xbox360,First-Person,No Online Multiplayer
84,Xbox360,First-Person,No Online Multiplayer
85,PC,Strategy,1 Player
85,PC,Turn-Based,1 Player
85,PC,Historic,1 Player
85,PC,General,1 Player
85,PC,Historic,1 Player
